Distance_cm,Azimuth_deg,Elevation_deg
973.2,0.0,0
973.5,0.5,0
973.2,1.0,0
973.1,1.5,0
973.4,2.0,0
973.0,2.5,0
973.0,3.0,0
972.9,3.5,0
974.0,4.0,0
976.0,4.5,0
988.0,7.5,0
1001.0,11.0,0
990.0,14.0,0
999.0,17.5,0
987.0,21.0,0
972.0,24.0,0
899.0,27.5,0
416.0,44.0,0
477.0,47.5,0
568.0,51.0,0
536.0,54.0,0
490.0,57.5,0
470.0,61.0,0
383.0,64.0,0
397.0,67.5,0
475.0,71.0,0
515.0,74.0,0
516.0,77.5,0
517.0,81.0,0
517.0,84.0,0
448.0,87.5,0
391.0,90.5,0
510.0,94.0,0
543.0,97.5,0
555.0,100.5,0
524.0,104.0,0
489.0,107.5,0
366.0,110.5,0
410.0,114.0,0
395.0,117.5,0
236.0,120.5,0
42.0,124.5,0
30.0,127.5,0
29.0,131.0,0
28.0,134.0,0
27.0,137.5,0
26.0,141.0,0
25.0,144.0,0
24.0,147.5,0
24.0,150.5,0
24.0,154.0,0
122.0,157.5,0
554.0,161.0,0
514.0,164.0,0
317.0,167.5,0
111.0,171.0,0
41.0,174.0,0
274.0,177.5,0
488.0,180.5,0
321.0,184.0,0
315.0,187.0,0
450.0,190.5,0
278.0,193.5,0
66.0,197.0,0
42.0,200.0,0
324.0,203.5,0
425.0,207.0,0
396.0,210.0,0
224.0,213.5,0
121.0,216.5,0
110.0,219.5,0
111.0,223.0,0
115.0,226.0,0
129.0,229.5,0
147.0,232.5,0
175.0,236.0,0
158.0,239.5,0
156.0,242.5,0
173.0,246.0,0
228.0,249.0,0
264.0,252.5,0
227.0,255.5,0
227.0,259.0,0
245.0,262.0,0
270.0,265.5,0
274.0,268.5,0
278.0,272.0,0
283.0,275.0,0
274.0,278.5,0
291.0,282.0,0
292.0,285.0,0
306.0,288.0,0
285.0,291.0,0
265.0,294.0,0
248.0,296.5,0
212.0,299.5,0
202.0,303.0,0
207.0,306.0,0
214.0,309.5,0
210.0,312.5,0
305.0,316.0,0
702.0,338.5,0
622.0,341.5,0
841.0,344.5,0
936.0,348.0,0
945.0,351.0,0
947.0,354.5,0
956.0,357.5,0
976.0,5.0,2
981.0,8.5,2
979.0,11.5,2
961.0,15.0,2
870.0,18.0,2
780.0,21.5,2
653.0,25.0,2
580.0,28.0,2
572.0,31.5,2
479.0,34.5,2
463.0,38.0,2
551.0,41.0,2
550.0,44.5,2
557.0,48.0,2
502.0,51.0,2
489.0,54.5,2
478.0,57.5,2
450.0,61.0,2
482.0,64.0,2
518.0,67.5,2
518.0,71.0,2
517.0,74.0,2
518.0,77.5,2
517.0,80.5,2
464.0,84.0,2
524.0,87.0,2
542.0,90.5,2
551.0,94.0,2
565.0,97.0,2
574.0,100.5,2
488.0,104.0,2
571.0,107.0,2
441.0,110.5,2
376.0,113.5,2
139.0,117.0,2
31.0,120.0,2
30.0,123.5,2
28.0,126.5,2
27.0,130.0,2
26.0,133.0,2
26.0,136.0,2
25.0,139.5,2
24.0,142.5,2
24.0,146.0,2
46.0,149.0,2
385.0,152.5,2
577.0,156.0,2
567.0,159.0,2
368.0,162.5,2
98.0,166.0,2
59.0,169.0,2
468.0,172.5,2
584.0,175.5,2
405.0,179.0,2
470.0,182.0,2
456.0,185.5,2
217.0,189.0,2
50.0,192.0,2
54.0,195.5,2
272.0,198.5,2
163.0,202.0,2
181.0,205.5,2
112.0,208.5,2
107.0,212.0,2
108.0,215.0,2
113.0,218.5,2
138.0,221.5,2
141.0,225.0,2
151.0,228.5,2
165.0,231.5,2
170.0,235.0,2
213.0,238.0,2
277.0,241.5,2
274.0,245.0,2
270.0,248.0,2
251.0,251.5,2
236.0,254.5,2
272.0,258.0,2
273.0,261.5,2
276.0,264.5,2
280.0,268.0,2
286.0,271.0,2
271.0,274.5,2
299.0,277.5,2
296.0,281.0,2
299.0,284.0,2
272.0,287.5,2
252.0,291.0,2
231.0,294.0,2
207.0,297.0,2
220.0,300.5,2
271.0,302.5,2
327.0,305.0,2
233.0,307.5,2
792.0,321.0,2
794.0,324.5,2
748.0,327.5,2
738.0,331.0,2
680.0,334.0,2
691.0,337.5,2
923.0,340.5,2
943.0,343.5,2
946.0,347.0,2
950.0,350.0,2
959.0,353.5,2
969.0,356.5,2
972.0,359.0,2
972.9,359.5,2
971.2,360.0,2
969.0,0.0,4
971.5,0.5,4
972.3,1.0,4
970.0,2.5,4
974.0,12.5,4
980.0,15.5,4
999.0,19.0,4
959.0,22.0,4
879.0,25.5,4
824.0,29.0,4
780.0,32.0,4
725.0,35.5,4
688.0,38.5,4
640.0,42.0,4
617.0,45.0,4
553.0,48.5,4
572.0,51.5,4
520.0,55.0,4
495.0,58.0,4
485.0,61.5,4
465.0,64.5,4
462.0,68.0,4
517.0,71.5,4
519.0,74.5,4
518.0,78.0,4
519.0,81.0,4
521.0,84.5,4
475.0,88.0,4
503.0,91.0,4
537.0,94.5,4
548.0,97.5,4
559.0,101.0,4
576.0,104.0,4
593.0,107.5,4
612.0,111.0,4
513.0,114.0,4
479.0,117.0,4
247.0,120.5,4
41.0,124.0,4
30.0,127.5,4
28.0,131.0,4
27.0,134.0,4
27.0,137.5,4
26.0,141.0,4
25.0,144.0,4
24.0,147.5,4
24.0,151.0,4
27.0,154.0,4
141.0,157.5,4
560.0,161.0,4
574.0,164.5,4
274.0,168.0,4
79.0,171.0,4
38.0,174.5,4
426.0,178.0,4
591.0,181.0,4
599.0,184.5,4
583.0,187.5,4
468.0,191.0,4
